X	Gloss	Duhumbi	Khispi	Rupa	Shergaon	Rahung	Khoitam	Jerigaon	Khoina	Dikhyang	Singchung	Wangho	Bichom	Kaspi	Namphri	Bulu	Kojo Rojo	Rawa	Saria	Chayangtajo	Lasumpatte	ZMYYC	Li Daqin		ʦB	WB	WT	PT	PBG	PH	PKC
96	wind	nam-suŋ 	nam-suŋ 	nə-sɔm 	nə-sɔm 	p-søm 	ny-sɔm	nə-søn	na-søn 	haːsaːm	hasam	hasam	aʃam	hasam	hasam	haNʃin	hahɹɨn	hahɨn	ahuiʔ	aŋhuiʔ	aŋhuiʔ	aŋ³³huʈ⁵³	aŋ³³xɯᵗ⁵⁵		ɾidi 	lèi	rluṅ-ma/lhag-pa	*rji	*par¹	*low	*hu(u)y, *khlii
L	cognacy	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	3	3	3	3		4	5	6	5	7	8	3
97	wing	pɛmpu	ɲuj-pʰa 	nə-pʰaŋ 	lə-pʰaŋ 	mə-pʰaŋ 	nə-pʰaŋ 	ny-pʰaŋ 	ny-pʰaŋ 	əjik̚ ~ eːjik̚	NA	NA	NA	NA	NA	aʒuiN	aʒun	azuət	məjuiʔ	ajuiʔ	awiʔ	a³³juʈ³³	a³¹jəuᵗ⁵⁵		ɕɔkpa 	taʊ̀̃ bà̃ (taun ban)	gśog-pa	*lap	*kraŋ¹	*gə/mə-ʨəwC	*khlaa
L	cognacy	1	2	2	2	2	2	2	2	3						3	3	3	3	3	4	3	3		5	6	5	7	8	9	10
16	woman	ʥu-mu	ʥu-mu ~ ʥə-mu	ʥə-my 	ʥə-mi	ʥə-my 	ʥə-my 	ʥə-my 	ʥə-my 	bə-mi	dimi	bimi	bimi	hõamu	hõamua	məruː	amui	amui	amui	amui	amui	a³³mui⁵³	bi⁵⁵a³¹mui⁵³		mewakʦa 	ɲé	skye-dman/bud-med	*mji-məː	*mV²-cik	*nəməraj	*nuu
S	cognacy	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	1	1	1	1	1	1	1		4	5	6	1	7	8	9
98	wood	ɕiŋ	hiŋ	hiŋ	hiŋ	hiŋ	hiŋ	hiŋ	hiŋ	hiŋ	hiŋ	hiŋ	hiŋ	hiŋ	hiŋ	ʃiN	hɹɨn	hɨŋ	hɹiŋ	hɹeŋ	hjeŋ	heʴn³³	hren⁵⁵		ɕiŋ 	θiʔ	śiṅ	*sɯŋ	NA	*(g)o	*thiŋ
L	cognacy	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1		2	1
99	yesterday	dɛj-ju 	di-ju 	di-jau 	NA	ʥɔ-hɔː ~ ʥoː 	ʥy-jɔː	dy-jɔː	dy-jɔː 	dijau ~ dijou	dijo	dijo	dijo	tʰəmijaŋ	dijo	ʤirjɛ:	rəniː	(prjoniː)	bɹõrĩ	bjariː	bjariː	bie³³ri⁵³	bie³³ɬi⁵³		ʔiniŋ 	NA	mdaṅ/kha-sa	 NA	*mi¹-a	*də-gaC	NA
L	cognacy	1	1	1		1	1	1	1	1	1	1	1	1	1	1	2		3	3	3	3	3		4		5		6	7	
